City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,harstad,68.799,16.5293,286.83,88,100,14.75,NO,1726683519
183,altamont,42.2068,-121.7372,289.06,74,40,2.57,US,1726683520
184,brookings,44.3114,-96.7984,300.62,69,0,8.75,US,1726683521
185,riachao das neves,-11.7461,-44.91,309.07,14,2,4.12,BR,1726683522
186,taoudenni,22.6783,-3.9836,309.48,25,42,6.74,ML,1726683524
187,conduaga,8.862,117.4893,298.58,91,100,3.67,PH,1726683525
188,zmiyevka,52.6697,36.3739,288.56,36,97,2.85,RU,1726683526
189,dorado,18.4588,-66.2677,305.9,77,100,1.79,PR,1726683527
190,mallammaduri,12.565,9.9573,301.35,61,100,2.71,NG,1726683528
191,igarka,67.4667,86.5833,278.82,97,100,5.95,RU,1726683529
192,camarinas,43.1311,-9.1817,292.0,75,5,6.73,ES,1726683530
193,awjilah,29.1081,21.2869,308.79,17,31,5.1,LY,1726683531
194,codrington,-38.2667,141.9667,282.12,85,93,4.96,AU,1726683532
195,nabire,-3.3667,135.4833,297.42,96,100,1.63,ID,1726683533
196,ola,59.5833,151.2833,278.24,77,98,1.79,RU,1726683534
197,westport,41.1415,-73.3579,296.9,72,0,4.63,US,1726683535
198,mount gambier,-37.8333,140.7667,279.9,95,86,2.74,AU,1726683537
199,miandrivazo,-19.5167,45.4667,299.2,68,1,2.36,MG,1726683538
200,nenjiang,49.1833,125.2167,282.51,39,66,1.89,CN,1726683539
201,monrovia,6.3005,-10.7969,298.79,86,68,3.69,LR,1726683540
202,dakhla,23.6848,-15.958,295.16,83,22,6.17,EH,1726683541
203,wendouree,-37.55,143.8333,280.08,94,100,1.34,AU,1726683542
204,angaur state,6.906,134.13,302.19,76,86,5.65,PW,1726683543
205,hamilton,39.1834,-84.5333,304.71,52,75,2.68,US,1726683544
206,muli,2.9167,73.5667,300.51,80,100,5.28,MV,1726683545
207,inirida,3.8653,-67.9239,310.23,40,46,0.69,CO,1726683546
208,sompeta,18.9333,84.6,299.78,85,39,1.7,IN,1726683547
209,margaret river,-33.95,115.0667,279.76,82,0,3.52,AU,1726683548
210,salbris,47.4242,2.0512,288.99,59,96,3.79,FR,1726683550
211,hadibu,12.65,54.0333,299.58,77,41,1.86,YE,1726683551
